,Carbón,Petróleo crudo,Condensados,Gas   natural,Nucleoenergía,Hidroenergía,Geoenergía,Energía solar,Energía eólica,Bagazo de ca&ntilde;a,Le&ntilde;a,Biogás,Total de energía primaria,Coque de carbón,Coque de petróleo,Gas LP,Gasolinas  y naftas,Querosenos,Diesel,Combustóleo,Productos no energéticos,Gas seco,Otros autogeneración,Electricidad,Total de energía secundaria,Total
Producción,137.561,3905.626,293.786238,1576.499,124.987,282.18,92.195,150.219925,166.046,103.953774,245.6,2.778924,7081.432861,0,0,0,0,0,0,0,0,0,0,0,0,7081.42412
De otras fuentes,--,--,--,1053.417,--,--,--,--,--,--,--,--,1053.417,0,0,0,0,0,0,0,0,0,0,0,0,1053.417
Importación,24.580121,0,--,--,--,--,--,--,--,--,--,--,24.580121,36.351982,143.380016,299.211,1371.244,105.373289,647.479249,0,0,2174.118,0,6.25,4783.407536,4807.987536
Variación de inventarios,0.097625,17.169,0,14.633,--,--,--,--,--,--,--,--,31.899625,0,-17.449519,-27.22,2.533,-1.354352,3.917155,22.752253,-0.331602,488.427,0,--,471.279,503.179
Oferta total,162.238746,3922.795,293.786238,2644.549,124.987,282.18,92.195,150.219925,166.046,103.953774,245.6,2.778924,8191.329607,36.351982,125.930497,271.991,1373.777,104.018937,651.396404,22.752253,-0.331602,2662.545,0,6.25,5254.681471,13446.00259
Exportación,-0.106,-2389.265,0,--,--,--,--,--,--,--,--,--,-2389.371,-0.029725,-0.370216,0,-13.859,0,-8.29826,-370.767194,0,-2.768,0,-9.7,-405.792395,-2795.163395
No aprovechada,--,-7.903,--,-219.073,--,--,--,--,--,-1.143,--,--,-228.119,--,--,--,--,--,--,--,--,--,0,0,0,-228.12
Maquila-intercambio neto,--,0,--,--,--,--,--,--,--,--,--,--,0,--,--,0,0,0,0,0,0,--,0,0,0,0
Oferta interna bruta,162.132746,1525.627,293.786238,2425.476,124.987,282.18,92.195,150.219925,166.046,102.810774,245.6,2.778924,5573.839607,36.322257,125.560281,271.991,1359.918,104.018937,643.098144,-348.014941,-0.331602,2659.777,0,-3.45,4848.889076,10422.7192
Total transformación,-98.404363,-1441.178003,-293.786238,-1179.246,-124.986917,-281.579932,-92.195059,-106.626623,-166.035078,-27.631928,0,-1.337166,-3813.007307,12.842078,1.485118,139.683,544.518,61.080692,240.260978,396.55323,82.46,-1155.152,-0.004328,1111.05,1434.776768,-2378.230539
