,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
Producción,0.001705,0.001705,0.000464,0.018,0.0216,0.018,0.162,0.8928,0.918,2.14687,4.4608,5.933957,13.277917,15.064358,23.134308,31.482341,37.361141,38.231214,47.119,60.216,70.928131,166.046,180.542847
Importación,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Variación de inventarios,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oferta total,0.001705,0.001705,0.000464,0.018,0.0216,0.018,0.162,0.8928,0.918,2.14687,4.4608,5.933957,13.277917,15.064358,23.134308,31.482341,37.361141,38.231214,47.119,60.216,70.928131,166.046,180.542847
Exportación,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
No aprovechada,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Maquila - intercambio neto,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Oferta interna bruta,0.001705,0.001705,0.000464,0.018,0.0216,0.018,0.162,0.8928,0.918,2.14687,4.4608,5.933957,13.277917,15.064358,23.134308,31.482341,37.361141,38.231214,47.119,60.216,70.928131,166.046,180.542847
Total transformación,N/D,N/D,0,-0.018,-0.0216,-0.018,-0.162,-0.8928,-0.918,-0.897288,-0.599011,-0.380451,-0.676642,-0.6826,-0.765537,-0.73053,-0.673348,-0.377222,-0.438,-0.264,-0.216517,-0.744552,-0.686591
Coquizadoras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Refinerías y despuntadoras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Plantas de gas y fraccionadoras,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Centrales eléctricas públicas,N/D,N/D,0,-0.018,-0.0216,-0.018,-0.162,-0.8928,-0.918,-0.897288,-0.599011,-0.380451,-0.676642,-0.6826,-0.765537,-0.73053,-0.673348,-0.377222,-0.438,-0.264,-0.216517,-0.744552,-0.686591
Centrales eléctricas PIE,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Consumo propio del sector,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Diferencia estadística,-0.001705,-0.001705,-0.000464,0,0,0,0,0,0,-1.249582,-3.861789,-5.553506,-12.601275,-14.381758,-22.368771,-30.751811,-36.687793,-37.853992,-46.681,-59.952,-70.711614,-165.301448,-179.856256
